Axe_X,Axe_Y,Name,Cluster
1.8864405,-8.541765,Don Chinjao ,Groupe 1
-3.0964215,-11.160371,Don King ,Groupe 1
-24.35304,-1.9115242,Donald Duck,Groupe 4
26.36315,46.100533,Donald Trump,Groupe 2
-11.148888,-18.573109,Dora,Groupe 7
-28.410223,-33.990788,Dora l'exploratrice (dessin animÃ©),Groupe 4
-23.33689,-12.569083,Doraemon,Groupe 7
-3.2757814,-10.258778,Dr Gero (Dragon Ball),Groupe 1
5.8606267,40.346035,Dr Nozman(Youtuber),Groupe 3
-20.28621,4.3570104,Dracaufeu (animal Pokemon),Groupe 7
-28.933516,-11.416307,Dracula,Groupe 7
-30.886982,-21.34149,Drago Malefo (personnage Harry Potter),Groupe 7
11.071383,-1.2699674,Dragon Ã©toile filante ,Groupe 1
-2.5381315,-10.068069,Drattak ,Groupe 1
-2.298351,-10.852511,Duchesse ,Groupe 1
-1.9177077,-8.725951,Duff ,Groupe 1
-41.23905,-31.652779,Duke Nukem,Groupe 7
-11.06341,26.628796,Dwayne Johnson (The Rock),Groupe 8
-12.1060295,25.101322,E,Groupe 8
-23.306273,-1.036272,E.T. (alien),Groupe 7
24.656044,23.572212,Earvin Ngapeth,Groupe 8
-16.570587,-16.001865,Eckko ( champion league of legends),Groupe 7
5.5704885,16.22952,Ed Sheeran (chanteur),Groupe 8
9.851578,9.596245,Eden Hazard ,Groupe 8
9.861708,9.628842,Edinson Cavani (footballer paris),Groupe 8
-14.463726,-23.679121,Edward Kenway (perso jeu Assassin's Creed),Groupe 7
-5.0559525,15.91301,Edward Snowden,Groupe 6
-29.741343,1.1428516,Edward Teach / Barbe Noire ,Groupe 7
-21.95072,-34.866566,Elliot (sÃ©rie Mr.Robot),Groupe 7
-4.763889,17.460703,Elon musk,Groupe 8
-2.408135,16.555779,Elon Musk (Pdg Tesla & SpaceX),Groupe 8
-12.749047,-17.678392,Elsa,Groupe 7
3.3179746,18.893196,Elton John,Groupe 8
29.89963,4.504033,Emile Zola,Groupe 0
-7.16241,22.452158,Emilia Clarke (acteur de Game of Thrones),Groupe 8
11.673766,13.0864935,Emiliano SALA (footballeur attaquant fc nantes),Groupe 5
-6.19649,16.675726,Eminem,Groupe 8
-1.5152941,13.419863,Eminem (chanteur),Groupe 8
1.1307932,-7.406837,Emiya Kiritsugu ,Groupe 1
-6.869575,23.521944,Emma Stone (actrice),Groupe 8
-6.807281,24.184464,Emma Watson,Groupe 6
25.70647,45.8796,Emmanuel Macron (prÃ©sident de la RÃ©publique FranÃ§aise),Groupe 2
15.796735,41.82143,Enora L (Etudiante INFO promo 2018),Groupe 3
0.0026147943,-8.38586,EphialtÃ¨s ,Groupe 1
-37.714954,-20.271065,Eragon (personnage de roman de fantasy,Groupe 7
5.1155276,49.06212,Eric Antoine,Groupe 3
23.011894,31.799044,Ãric Cantona,Groupe 8
9.160601,-19.84002,Eric Clapton ,Groupe 1
25.823868,39.298557,Ãric Di MÃ©co (ancien joueur de l'OM),Groupe 6
-6.7368298,10.377639,Eric ThÃ©odore Cartman ,Groupe 8
14.673145,49.57849,Erwan Legruyer (chercheur INSA),Groupe 3
-1.2940667,-9.273081,Erza Scarlett ,Groupe 1
31.787304,-7.8380013,Escher,Groupe 5
1.3151221,-8.215226,Esperanza Gomez ,Groupe 1
-20.470154,-35.83894,Esteban (citÃ©s d'or),Groupe 4
0.36524484,44.669147,Ãtienne Chouard (militant politique),Groupe 3
6.9914055,50.724518,Ãtienne Klein (physicien franÃ§ais),Groupe 3
27.014668,9.957876,EugÃ¨ne Delacroix (peintre du 19Ã¨me),Groupe 0
26.801722,5.572361,EugÃ¨ne Livet (Ã©ducateur franÃ§ais),Groupe 0
25.112309,8.069299,EugÃ©nie Brazier (chef cuisiniÃ¨re),Groupe 0
-2.2296438,-7.7808833,Eustass "Captain" Kidd ,Groupe 1
-32.121502,-18.584938,Ewok,Groupe 7
-26.859514,-23.709553,Eyeshield 21,Groupe 7
-12.382505,-25.398874,Ezio Auditore da Firenze (jeu assassin creed),Groupe 7
20.216974,35.799236,f,Groupe 5
0.5873681,28.556684,Fabien Barthez,Groupe 3
12.622332,44.807114,Fabien desgranges,Groupe 3
30.018518,24.56486,Fabien Lemoine (footballeur),Groupe 8
6.3448763,-24.711262,Facteur Yacinthe ,Groupe 1
31.74028,-9.019326,Fedor DostoÃ¯evski,Groupe 5
2.5736933,-8.075345,Felicity Smoak ,Groupe 1
-21.202724,-1.1195126,Ferris (Mascotte de rust),Groupe 7
-0.76332575,-7.4140987,Ferris Eris ,Groupe 1
29.681196,-8.610721,Fidel Castro (ancien dictateur de Cuba),Groupe 5
-23.900711,-23.442097,FilÃ©mon (perso BD),Groupe 7
6.344881,-24.711391,Flairsou ,Groupe 1
0.30108243,-7.2627306,Flash McQueen ,Groupe 1
-9.761237,15.26356,Flea (Red Hot Chilli Peppers),Groupe 8
-0.4987586,-6.6349645,Fleur Piranha ,Groupe 1
18.779493,37.875553,Florence Foresti,Groupe 3
30.455858,26.694708,Florent Manaudou,Groupe 8
12.75792,35.973206,Florent Pagny,Groupe 3
11.88213,44.077583,Florian Lisieux (Ã©tudiant INSA),Groupe 3
3.6071956,16.087439,Flume (musicien),Groupe 8
-34.49939,-21.315636,Ford Prefect (perso du Guide du voyageur galactique),Groupe 7
1.3637413,-6.6097684,Foued Kadir ,Groupe 1
21.424908,7.3920584,France Gall,Groupe 0
29.377094,25.136585,Franck Ribery (footballeur),Groupe 8
12.471567,35.246815,Francky Vincent,Groupe 3
22.296452,10.337963,FranÃ§ois 1er,Groupe 0
8.025207,54.739914,FranÃ§ois Asselineau (prÃ©sident UPR),Groupe 3
5.882197,56.193962,FranÃ§ois Fillon,Groupe 6
25.89983,45.940372,FranÃ§ois Hollande,Groupe 2
11.537583,-7.050376,FranÃ§ois II ,Groupe 1
29.684471,5.522198,FranÃ§ois Mitterand,Groupe 6
-19.67907,-25.506859,FranÃ§ois Pignon (personnage de films),Groupe 7
28.688068,1.8399068,FranÃ§oise DOLTO,Groupe 0
-24.903759,-37.56543,Franklin,Groupe 4
37.608,-9.086609,Freddy Mercury (chanteur de Queen),Groupe 5
27.361597,8.831704,FrÃ¨res LumiÃ¨re,Groupe 0
23.113932,3.2835495,Freud,Groupe 0
-34.505653,-25.126066,Frodon,Groupe 9
5.688667,44.748997,Gab35 (youtubiste),Groupe 3
9.259445,14.142454,Gabriela Sabatini (tenniswoman argentine),Groupe 8
3.8772867,36.569,Gad Elmaleh (Humoriste),Groupe 3
30.290846,28.662008,GaÃ«l Monfils (tennisman),Groupe 8
-15.527522,-10.537925,GaÃ¯a,Groupe 4
0.26259786,-10.577216,Gajeel Redfox ,Groupe 1
-8.5066,20.422527,Gal Gadot (actrice IsraÃ©lienne),Groupe 8
32.832962,-7.0033474,GalilÃ©e,Groupe 5
-33.07683,-22.265282,Gandalf,Groupe 4
-36.764893,-26.328594,Gandalf (le seigneur des anneaux),Groupe 4
31.699163,-6.5903063,gandhi,Groupe 5
-33.343082,-10.534234,Ganondorf ,Groupe 7
-21.645113,-5.5520372,GanymÃ¨de (oiseau compagnon de Bastion jeu vidÃ©o Overwatch),Groupe 7
