title,choice,id,parent_id,depth
Ton personnage est-il méchant ? ,n,1024425,1014583,6
Ton personnage est-il méchant ? ,p,1034263,1014583,6
Ton personnage possède-t-il des armes ?,o,1044107,1044106,6
Ton personnage a-t-il la peau blanche ?,n,1053753,1044106,6
Ton personnage a-t-il la peau blanche ?,p,1063594,1044106,6
Ton personnage a-t-il un prénom hors du commun ?,o,1073436,1073435,6
Ton personnage a-t-il un prénom hors du commun ?,n,1083217,1073435,6
Ton personnage fait-il des combats ?,p,1092959,1073435,6
Ton personnage a-t-il un prénom hors du commun ?,o,1102792,1102791,6
Ton personnage est-il policier ou détective ?,n,1112633,1102791,6
Ton personnage possède-t-il des armes ?,p,1122474,1102791,6
Ton personnage a-t-il la peau blanche ?,o,1132317,1132316,6
Ton personnage a-t-il la peau blanche ?,n,1142077,1132316,6
Ton personnage a-t-il la peau blanche ?,p,1151918,1132316,6
Ton personnage possède-t-il des armes ?,o,1161679,1161678,6
Est-ce que ton personnage est un animal ?,n,1171520,1161678,6
Est-ce que ton personnage est un animal ?,p,1181361,1161678,6
Ton personnage porte-t-il des chaussures ?,o,1191203,1191202,6
Ton personnage possède-t-il des armes ?,n,1201044,1191202,6
Ton personnage porte-t-il des chaussures ?,p,1210885,1191202,6
Ton personnage est-il un personnage de série télévisée ?,o,1220728,1220727,6
Ton personnage a-t-il la peau blanche ?,n,1230569,1220727,6
Ton personnage est-il un personnage de série télévisée ?,p,1240410,1220727,6
Ton personnage est-il méchant ? ,o,1250252,1250251,6
Ton personnage est-il méchant ? ,n,1260057,1250251,6
Ton personnage est-il méchant ? ,p,1269898,1250251,6
Ton personnage est-il un personnage de série télévisée ?,o,1279740,1279739,6
Ton personnage a-t-il la peau blanche ?,n,1289581,1279739,6
Ton personnage est-il un personnage de série télévisée ?,p,1299422,1279739,6
Ton personnage est-il méchant ? ,o,1309266,1309265,6
Ton personnage a-t-il la peau blanche ?,n,1318849,1309265,6
Ton personnage a-t-il la peau blanche ?,p,1328690,1309265,6
Ton personnage est-il masculin ?,o,1338532,1338531,6
Ton personnage est-il méchant ? ,n,1348373,1338531,6
Ton personnage fait-il des combats ?,p,1358214,1338531,6
Ton personnage possède-t-il des armes ?,o,1368056,1368055,6
Ton personnage a-t-il la peau blanche ?,n,1377897,1368055,6
Ton personnage possède-t-il des armes ?,p,1387738,1368055,6
Ton personnage est-il un personnage de série télévisée ?,o,1397581,1397580,6
Ton personnage a-t-il la peau blanche ?,n,1406579,1397580,6
Ton personnage a-t-il des cheveux ?,p,1416396,1397580,6
Est-ce que ton personnage est un animal ?,o,1426088,1426087,6
Ton personnage a-t-il des cheveux ?,n,1435929,1426087,6
Ton personnage a-t-il des cheveux ?,p,1445770,1426087,6
Ton personnage a-t-il un prénom hors du commun ?,o,1455612,1455611,6
Est-ce que ton personnage est un animal ?,n,1465444,1455611,6
Est-ce que ton personnage est un animal ?,p,1475285,1455611,6
Ton personnage est-il un personnage de série télévisée ?,o,1485128,1485127,6
Ton personnage est-il un personnage de série télévisée ?,n,1494969,1485127,6
Ton personnage est-il un personnage de série télévisée ?,p,1504810,1485127,6
Ton personnage a-t-il la peau blanche ?,o,1514652,1514651,6
Ton personnage possède-t-il des armes ?,n,1524493,1514651,6
Ton personnage possède-t-il des armes ?,p,1534334,1514651,6
Ton personnage est-il un personnage de série télévisée ?,o,1544176,1544175,6
Ton personnage est-il un personnage de série télévisée ?,n,1554017,1544175,6
Ton personnage est-il un personnage de série télévisée ?,p,1563858,1544175,6
Ton personnage est-il devenu connu grâce à Internet ?,o,1573703,1573702,6
Ton personnage est-il devenu connu grâce à Internet ?,n,1583544,1573702,6
Ton personnage fait-il des combats ?,p,1593385,1573702,6
Ton personnage est-il devenu connu grâce à Internet ?,o,1603227,1603226,6
Ton personnage est-il devenu connu grâce à Internet ?,n,1613068,1603226,6
Ton personnage est-il devenu connu grâce à Internet ?,p,1622909,1603226,6
