Axe_X,Axe_Y,Name,Cluster
-2.4989953,31.614035,Damien Chazelle (réalisateur),Groupe 2
0.4562057,-10.7623625,Damon Hill ,Groupe 3
-3.0475366,29.937527,Damso (William Kalubi rappeur),Groupe 2
-8.6940155,-2.6312802,Daniel Bryan (catcheur wwe),Groupe 1
-24.22782,38.040615,Daniel Narcisse,Groupe 2
-23.0815,42.138737,Daniel Narcisse (Joueur de handball français),Groupe 2
-27.811298,6.2512836,Daniel Radcliffe,Groupe 2
-36.723045,29.773865,Danielle Quichaud,Groupe 2
-42.98543,20.039652,Daniil le Russe (youtubeur),Groupe 2
-32.164444,25.720795,dany boon,Groupe 2
3.808563,-11.984561,Dark Krayt ,Groupe 3
20.267002,-42.54132,Dark Vador,Groupe 0
14.407115,23.857082,darwin,Groupe 2
-11.65742,24.595678,David Beckham,Groupe 2
-23.961475,38.825375,David Belle (sportif acteur français),Groupe 2
10.088856,24.235294,David Bowie,Groupe 2
-20.250332,0.4569821,David Copperfield (Magicien),Groupe 2
-25.221457,36.436077,David Douillet (judoka français),Groupe 2
-19.53953,-1.4065933,David Fincher (Réalisateur),Groupe 2
-20.831188,-2.7105598,David Gilmour,Groupe 2
-24.644394,22.354475,David Guetta,Groupe 2
-26.784687,24.42222,david halliday,Groupe 2
-37.006134,23.429415,David Pujadas (présentateur France 2),Groupe 2
-23.847263,38.3237,DAVID SKRELA,Groupe 2
-12.754476,24.707615,David Tennant ,Groupe 2
-42.364838,19.404413,DavidLaFargePokémon (youtubeur),Groupe 2
-27.904137,-7.6340704,De niro (acteur),Groupe 2
11.700211,-34.56531,Deadpool (super-héros Marvel),Groupe 1
36.287968,-22.285686,Dean,Groupe 1
10.039372,-23.688423,Dean (personnage de Supernatural),Groupe 1
32.72923,-7.097792,Deathstroke (Slade Wilson dans DC comics),Groupe 1
4.296544,-12.684823,Deliora ,Groupe 3
13.583467,-27.970636,Détective Conan,Groupe 1
1.8036338,-10.094807,Devin Weston ,Groupe 3
27.536203,-12.349735,DevINSA,Groupe 1
30.54449,-28.422916,Dexter Morgan,Groupe 1
-1.3282367,-11.118267,Dialga ,Groupe 3
2.8955548,-11.437547,Diana Bishop ,Groupe 3
3.7337449,-11.407843,Dianthéa ,Groupe 3
-23.925076,32.57304,Didier Deschamps,Groupe 0
-1.4423311,32.358894,Didier Drogba (footballeur Ivoirien),Groupe 2
28.342857,-15.155192,Dieu ,Groupe 0
-29.463898,15.801308,Dieudonné (humoriste),Groupe 0
-22.954624,44.399982,Dimitri Payet,Groupe 2
14.185854,-6.204149,Dingo (ami de mickey),Groupe 1
31.473995,-34.215252,Dio Brando (JoJo Bizarre Adventure),Groupe 1
-41.9733,28.42975,Directeur INSA Rennes,Groupe 2
-26.1304,24.005394,Dj Snake (Dj),Groupe 2
