Axe_X,Axe_Y,Name,Cluster,Medoid
-3.9608486,10.357039,Clara Alonso ,Groupe 1,0
50.725525,-3.9957016,Clara Morgane (Actrice),Groupe 4,0
-50.61917,9.792337,Clara Oswald (personnage de Doctor Who),Groupe 5,0
26.94724,-0.86822593,Claude François,Groupe 4,0
54.341274,-18.495626,Clément Aycard (majorant),Groupe 4,0
28.457914,21.119707,cleopatre,Groupe 0,0
18.198816,0.9295336,Clint Eastwood,Groupe 0,0
31.060314,-3.288218,Clovis (roi des francs saliens),Groupe 4,0
26.79711,-10.934393,Coluche,Groupe 3,0
-4.5410323,11.130143,Commando Clone ,Groupe 1,0
-31.80557,-10.576483,Corvo Attano ,Groupe 5,0
-3.5845027,9.607673,Corvus ,Groupe 1,0
-0.8652483,28.587526,Cranky Kong ,Groupe 1,0
-36.100826,-5.5795116,Crash Bandicoot,Groupe 5,0
-4.8658633,-19.689049,Cristiano Ronaldo ,Groupe 3,0
-5.980369,10.396719,Croutard ,Groupe 1,0
-1.1024238,14.558805,Cthulhu ,Groupe 1,0
-34.135784,0.59140503,Curly Brace,Groupe 5,0
-45.583427,-2.7471435,Cyclope (personnage des X-Men),Groupe 5,0
55.097134,-21.819805,cyprien,Groupe 4,0
56.621407,-22.81689,Cyprien Iov,Groupe 3,0
5.986477,1.6601171,Cyril Dumoulin ,Groupe 1,0
56.567966,-15.271412,Cyril Hanouna,Groupe 4,0
53.124714,-13.574965,d,Groupe 4,0
-14.662984,17.328959,Daario Naharis ,Groupe 1,0
-56.92803,-1.5550046,Daenerys Targaryen (Game of throne),Groupe 5,0
-50.811123,5.0643806,Daiki Aomine (personnage de manga),Groupe 5,0
15.008122,-20.297096,Dalaï-lama,Groupe 0,0
24.591421,-1.6348971,Dalida (chanteuse franbçaise),Groupe 4,0
10.897297,-23.835838,Damien Chazelle (réalisateur),Groupe 0,0
-6.248185,8.847671,Damon Hill ,Groupe 1,0
8.750735,-23.371498,Damso (William Kalubi rappeur),Groupe 0,0
-23.74971,-8.771121,Daniel Bryan (catcheur wwe),Groupe 5,0
50.328167,5.303809,Daniel Narcisse,Groupe 4,0
53.717525,7.941064,Daniel Narcisse (Joueur de handball français),Groupe 4,0
0.82620543,-19.788853,Daniel Radcliffe,Groupe 0,0
48.29473,-5.354824,Danielle Quichaud,Groupe 4,0
54.25824,-20.605017,Daniil le Russe (youtubeur),Groupe 4,0
50.900578,-2.063208,dany boon,Groupe 4,0
-7.0535436,10.768574,Dark Krayt ,Groupe 1,0
-46.604874,-15.924932,Dark Vador,Groupe 2,0
27.11089,11.00492,darwin,Groupe 0,0
13.174067,-12.743156,David Beckham,Groupe 0,0
51.20211,5.767759,David Belle (sportif acteur français),Groupe 4,0
27.771614,7.0455933,David Bowie,Groupe 3,0
5.8712645,-12.5470705,David Copperfield (Magicien),Groupe 0,0
49.822098,3.194301,David Douillet (judoka français),Groupe 4,0
7.185644,-11.950399,David Fincher (Réalisateur),Groupe 0,0
8.693054,-11.3643055,David Gilmour,Groupe 0,0
61.03102,-5.2224936,David Guetta,Groupe 4,0
59.48138,-8.079704,david halliday,Groupe 4,0
57.436947,-16.571009,David Pujadas (présentateur France 2),Groupe 4,0
50.952126,5.289031,DAVID SKRELA,Groupe 4,0
13.861925,-12.409773,David Tennant ,Groupe 3,0
54.387997,-20.275705,DavidLaFargePokémon (youtubeur),Groupe 4,0
13.139276,-3.3035307,De niro (acteur),Groupe 0,0
-51.23239,6.9304824,Dean,Groupe 5,0
-45.420025,14.372847,Dean (personnage de Supernatural),Groupe 5,0
-35.18247,-11.199342,Deathstroke (Slade Wilson dans DC comics),Groupe 5,0
-4.2779713,9.3882675,Deliora ,Groupe 1,0
-39.861748,5.1329637,Détective Conan,Groupe 5,0
-3.3243356,10.525738,Devin Weston ,Groupe 1,0
-26.733128,-1.6535505,DevINSA,Groupe 5,0
-45.984673,12.377411,Dexter Morgan,Groupe 5,0
-3.589525,11.78035,Dialga ,Groupe 1,0
-7.6206045,9.889159,Diana Bishop ,Groupe 1,0
-5.44761,11.039537,Dianthéa ,Groupe 1,0
44.48675,0.93051124,Didier Deschamps,Groupe 3,0
11.382727,-24.935753,Didier Drogba (footballeur Ivoirien),Groupe 0,0
-19.926397,0.12327503,Dieu ,Groupe 5,0
54.177097,-10.05729,Dieudonné (humoriste),Groupe 3,0
54.940758,9.754465,Dimitri Payet,Groupe 4,0
-19.936672,13.638312,Dingo (ami de mickey),Groupe 5,0
-52.447887,-3.288453,Dio Brando (JoJo Bizarre Adventure),Groupe 5,0
59.477528,-7.3206654,Dj Snake (Dj),Groupe 4,0
28.093134,16.027409,Dmitri Mendeleïev (chimiste russe),Groupe 0,0
-27.191948,1.381622,Dobby (Personnage de Harry Potter),Groupe 5,0
-54.759594,5.2212796,Doc brown,Groupe 5,0
-50.374634,10.132708,Docteur House (personnage),Groupe 5,0
-4.6167645,8.529545,Docteur Kureha ,Groupe 1,0
51.47231,-12.78514,domingo,Groupe 4,0
-7.0202007,9.306911,Dominique Gros ,Groupe 1,0
59.601665,-17.087076,Dominique Strauss-Kahn (dit DSK homme politique),Groupe 4,0
-48.00112,-6.297257,Don  quichote,Groupe 5,0
-2.0551536,11.255286,Don Chinjao ,Groupe 1,0
-4.609099,10.144236,Don King ,Groupe 1,0
-28.144398,5.144637,Donald Duck,Groupe 5,0
39.380898,-2.4814496,Donald Trump,Groupe 2,0
-36.363094,10.67323,Dora,Groupe 5,0
-52.011604,7.7996187,Dora l'exploratrice (dessin animé),Groupe 5,0
-36.600475,1.5792291,Doraemon,Groupe 5,0
-6.477803,9.882093,Dr Gero (Dragon Ball),Groupe 1,0
51.05398,-14.821754,Dr Nozman(Youtuber),Groupe 4,0
-22.650515,9.34543,Dracaufeu (animal Pokemon),Groupe 5,0
-38.166874,-14.895173,Dracula,Groupe 5,0
-44.68945,-2.1413121,Drago Malefo (personnage Harry Potter),Groupe 5,0
5.212285,19.696503,Dragon étoile filante ,Groupe 1,0
-5.0444155,9.460475,Drattak ,Groupe 1,0
-7.0535436,10.768574,Duchesse ,Groupe 1,0
-5.424266,8.589814,Duff ,Groupe 1,0
-49.419163,-17.991035,Duke Nukem,Groupe 5,0
13.796056,-3.530322,Dwayne Johnson (The Rock),Groupe 0,0
11.576208,-3.8527324,E,Groupe 0,0
-26.520391,4.0051603,E.T. (alien),Groupe 5,0
58.220505,5.548804,Earvin Ngapeth,Groupe 4,0
-33.120743,1.1862358,Eckko ( champion league of legends),Groupe 5,0
8.581712,-24.996017,Ed Sheeran (chanteur),Groupe 0,0
-6.118748,-14.348661,Eden Hazard ,Groupe 0,0
-6.1095324,-14.380173,Edinson Cavani (footballer paris),Groupe 0,0
-32.77785,-5.1567354,Edward Kenway (perso jeu Assassin's Creed),Groupe 5,0
8.10011,-13.99292,Edward Snowden,Groupe 3,0
-22.860987,-1.4552342,Edward Teach / Barbe Noire ,Groupe 5,0
-49.335144,10.9358635,Elliot (série Mr.Robot),Groupe 5,0
5.0807743,-15.55431,Elon musk,Groupe 0,0
8.395547,-15.886809,Elon Musk (Pdg Tesla & SpaceX),Groupe 0,0
-37.82312,10.940776,Elsa,Groupe 5,0
10.760338,-21.850063,Elton John,Groupe 0,0
32.02462,-13.002093,Emile Zola,Groupe 4,0
1.7129196,-19.575394,Emilia Clarke (acteur de Game of Thrones),Groupe 0,0
-5.191196,-18.008228,Emiliano SALA (footballeur attaquant fc nantes),Groupe 0,0
7.2196198,-15.146454,Eminem,Groupe 0,0
3.270841,-12.808175,Eminem (chanteur),Groupe 0,0
-5.255098,10.376837,Emiya Kiritsugu ,Groupe 1,0
1.1265482,-20.727098,Emma Stone (actrice),Groupe 0,0
0.8794364,-21.498556,Emma Watson,Groupe 3,0
39.803883,-3.0219617,Emmanuel Macron (président de la République Française),Groupe 2,0
48.880028,-9.524276,Enora L (Etudiante INFO promo 2018),Groupe 4,0
-3.7512546,8.609326,Ephialtès ,Groupe 1,0
-48.24215,-7.558296,Eragon (personnage de roman de fantasy,Groupe 5,0
58.5631,-20.142616,Eric Antoine,Groupe 4,0
51.69994,2.9110172,Éric Cantona,Groupe 4,0
-14.58238,21.676704,Eric Clapton ,Groupe 1,0
44.55546,0.9055985,Éric Di Méco (ancien joueur de l'OM),Groupe 3,0
4.8037105,-11.441371,Eric Théodore Cartman ,Groupe 0,0
46.6926,-18.3871,Erwan Legruyer (chercheur INSA),Groupe 4,0
-2.4009798,10.541079,Erza Scarlett ,Groupe 1,0
26.71597,19.549421,Escher,Groupe 0,0
-3.6991868,11.215887,Esperanza Gomez ,Groupe 1,0
-49.368595,12.846085,Esteban (cités d'or),Groupe 5,0
46.87859,-20.985285,Étienne Chouard (militant politique),Groupe 4,0
58.741844,-15.992582,Étienne Klein (physicien français),Groupe 4,0
32.51954,-7.5612593,Eugène Delacroix (peintre du 19ème),Groupe 4,0
30.12947,-10.438049,Eugène Livet (éducateur français),Groupe 4,0
29.44642,-7.8369775,Eugénie Brazier (chef cuisinière),Groupe 4,0
-2.9490721,8.908721,Eustass "Captain" Kidd ,Groupe 1,0
-43.616886,-4.850623,Ewok,Groupe 5,0
-40.111607,0.8900589,Eyeshield 21,Groupe 5,0
-31.388882,-3.2977884,Ezio Auditore da Firenze (jeu assassin creed),Groupe 5,0
47.67656,-1.5407926,f,Groupe 0,0
43.92851,3.0718496,Fabien Barthez,Groupe 3,0
50.52145,-22.865238,Fabien desgranges,Groupe 4,0
56.850464,11.043009,Fabien Lemoine (footballeur),Groupe 4,0
4.794133,25.550919,Facteur Yacinthe ,Groupe 1,0
25.758291,18.568699,Fedor Dostoïevski,Groupe 0,0
-2.1302493,9.449974,Felicity Smoak ,Groupe 1,0
-26.165722,4.777727,Ferris (Mascotte de rust),Groupe 5,0
-2.8423076,9.867486,Ferris Eris ,Groupe 1,0
24.373917,18.484135,Fidel Castro (ancien dictateur de Cuba),Groupe 0,0
-37.39066,1.7653673,Filémon (perso BD),Groupe 5,0
4.794341,25.550575,Flairsou ,Groupe 1,0
-2.9058018,11.16238,Flash McQueen ,Groupe 1,0
9.685907,-8.750663,Flea (Red Hot Chilli Peppers),Groupe 0,0
-1.6202226,10.180343,Fleur Piranha ,Groupe 1,0
49.863632,-4.5486426,Florence Foresti,Groupe 4,0
54.63172,10.964929,Florent Manaudou,Groupe 4,0
60.01279,-10.410909,Florent Pagny,Groupe 4,0
50.155827,-20.911852,Florian Lisieux (étudiant INSA),Groupe 4,0
8.172856,-22.957426,Flume (musicien),Groupe 0,0
-46.861614,-5.3408895,Ford Prefect (perso du Guide du voyageur galactique),Groupe 5,0
-0.8990455,12.538985,Foued Kadir ,Groupe 1,0
28.40965,-4.854507,France Gall,Groupe 4,0
56.252563,10.229427,Franck Ribery (footballeur),Groupe 4,0
60.110653,-9.499284,Francky Vincent,Groupe 4,0
31.449808,-3.205854,François 1er,Groupe 4,0
62.644077,-18.827677,François Asselineau (président UPR),Groupe 4,0
63.61017,-17.008669,François Fillon,Groupe 3,0
39.647064,-2.8521485,François Hollande,Groupe 2,0
0.5342639,23.38934,François II ,Groupe 1,0
32.62688,-12.026815,François Mitterand,Groupe 3,0
-39.712906,5.4462423,François Pignon (personnage de films),Groupe 5,0
29.222275,-14.160041,Françoise DOLTO,Groupe 4,0
-52.017933,12.797676,Franklin,Groupe 5,0
30.711113,13.252735,Freddy Mercury (chanteur de Queen),Groupe 0,0
31.718527,-8.464946,Frères Lumière,Groupe 4,0
26.207888,-9.343876,Freud,Groupe 4,0
-49.50506,-3.5614574,Frodon,Groupe 5,0
54.681046,-22.72805,Gab35 (youtubiste),Groupe 4,0
-3.0202866,-16.995224,Gabriela Sabatini (tenniswoman argentine),Groupe 0,0
54.792385,-10.906903,Gad Elmaleh (Humoriste),Groupe 4,0
52.82072,10.335327,Gaël Monfils (tennisman),Groupe 4,0
